acct|period|cash|mkt|feature_max_mkt|feature_prev_1_max_mkt|feature_prev_2_max_mkt
10363888|2021-09|0.0|5218.73858|5218.73858|5211.28805|5211.28805
10363888|2021-10|9.094947017729282e-13|5242.94739|5242.94739|5218.73858|5218.73858
10427562|2021-06|0.0|81662.66266|81662.66266|81521.11513|81521.11513
10427562|2021-07|0.0|81374.60632|81662.66266|81662.66266|81662.66266
10427562|2021-08|0.0|82334.45756|82334.45756|81662.66266|81662.66266
10427562|2021-09|0.0|80625.82253|82334.45756|82334.45756|82334.45756
10427562|2021-10|0.0|82393.40774|82393.40774|82334.45756|82334.45756
10544244|2021-06|0.0|806.01632|806.01632|773.82116|773.82116
10544244|2021-07|0.0|836.57427|836.57427|806.01632|806.01632
10544244|2021-08|0.0|878.77064|878.77064|836.57427|836.57427
10544244|2021-09|0.0|875.14929|878.77064|878.77064|878.77064
10544244|2021-10|0.0|935.47982|935.47982|878.77064|878.77064
10611165|2021-06|0.0|31729.5461|31729.5461|30684.88928|30684.88928
10611165|2021-07|0.0|32333.55072|32333.55072|31729.5461|31729.5461
10611165|2021-08|0.0|33678.14777|33678.14777|32333.55072|32333.55072
10611165|2021-09|0.0|32627.99895|33678.14777|33678.14777|33678.14777
10611165|2021-10|0.0|35122.18983|35122.18983|33678.14777|33678.14777
10996453|2021-06|0.0|51144.89|51144.89|50458.97|50458.97
10996453|2021-07|0.0|50938.14|51144.89|51144.89|51144.89
10996453|2021-08|0.0|51938.57|51938.57|51144.89|51144.89
10996453|2021-09|89.75999999999476|49999.24|51938.57|51938.57|51938.57
10996453|2021-10|0.0|51981.27|51981.27|51938.57|51938.57
11011077|2021-06|0.0|228424.33567|228424.33567|225860.53119|225860.53119
11011077|2021-07|0.0|230120.73271|230120.73271|228424.33567|228424.33567
11011077|2021-08|0.0|235435.07742|235435.07742|230120.73271|230120.73271
11011077|2021-09|0.0|226285.9517|235435.07742|235435.07742|235435.07742
11011077|2021-10|0.0|237936.79739|237936.79739|235435.07742|235435.07742
11064017|2021-06|0.0|156398.31596|156398.31596|155098.17742|155098.17742
11064017|2021-07|0.0|157047.33308|157047.33308|156398.31596|156398.31596
11064017|2021-08|0.0|157861.16425|157861.16425|157047.33308|157047.33308
11064017|2021-09|0.0|155651.94529|157861.16425|157861.16425|157861.16425
11064017|2021-10|0.0|156743.29621|157861.16425|157861.16425|157861.16425
11361356|2021-06|378.61999999999534|132262.97|132262.97|129319.42|129319.42
11361356|2021-07|90.39999999999418|130448.68|132262.97|132262.97|132262.97
11361356|2021-08|90.39999999999418|133171.77|133171.77|132262.97|132262.97
11361356|2021-09|265.4000000000088|127654.99|133171.77|133171.77|133171.77
11361356|2021-10|60.0|133726.55|133726.55|133171.77|133171.77
11561498|2021-06|-1.1641532182693479e-10|734226.2357|734226.2357|728592.02333|728592.02333
11561498|2021-07|0.0|738305.21766|738305.21766|734226.2357|734226.2357
11561498|2021-08|7550.969999999972|754396.69126|754396.69126|738305.21766|738305.21766
11561498|2021-09|0.0|724798.8302|754396.69126|754396.69126|754396.69126
11561498|2021-10|0.0|758020.39552|758020.39552|754396.69126|754396.69126
11598118|2021-06|0.0|162147.4184|162147.4184|158605.77389|158605.77389
11598118|2021-07|0.0|165621.71668|165621.71668|162147.4184|162147.4184
11598118|2021-08|0.0|168770.21472|168770.21472|165621.71668|165621.71668
11598118|2021-09|0.0|167059.35891|168770.21472|168770.21472|168770.21472
11598118|2021-10|0.0|171311.56224|171311.56224|168770.21472|168770.21472
11847735|2021-06|0.0|2830.14331|2830.14331|2810.91236|2810.91236
11847735|2021-07|0.430000000000291|2748.32441|2830.14331|2830.14331|2830.14331
11847735|2021-08|0.4099999999998545|2758.82521|2830.14331|2830.14331|2830.14331
11847735|2021-09|0.0|2734.15128|2758.82521|2830.14331|2830.14331
11847735|2021-10|0.3800000000001091|2658.62333|2758.82521|2758.82521|2758.82521
11938652|2021-06|0.0|85531.6125|85897.602|85897.602|85897.602
11938652|2021-07|0.0|86191.9191|86191.9191|85897.602|85897.602
11938652|2021-08|0.0|86857.22808|86857.22808|86191.9191|86191.9191
11938652|2021-09|0.0|85795.25032|86857.22808|86857.22808|86857.22808
11938652|2021-10|0.0|87853.21017|87853.21017|86857.22808|86857.22808
12010382|2021-06|0.0|697.07428|697.07428|493.392|493.392
12010382|2021-07|0.0|755.25019|755.25019|697.07428|697.07428
12010382|2021-08|0.0|816.34828|816.34828|755.25019|755.25019
12010382|2021-09|0.0|838.58896|838.58896|816.34828|816.34828
12010382|2021-10|0.0|920.8449|920.8449|838.58896|838.58896
12042633|2021-06|0.0|311779.90635|311779.90635|308687.22281|308687.22281
12042633|2021-07|0.0|313770.52385|313770.52385|311779.90635|311779.90635
12042633|2021-08|0.0|319858.06708|319858.06708|313770.52385|313770.52385
12042633|2021-09|0.0|310549.13966|319858.06708|319858.06708|319858.06708
12042633|2021-10|0.0|324598.04393|324598.04393|319858.06708|319858.06708
12235993|2021-06|0.0|124793.3391|124793.3391|123502.13584|123502.13584
12235993|2021-07|0.0|125925.92791|125925.92791|124793.3391|124793.3391
12235993|2021-08|0.0|127757.45051|127757.45051|125925.92791|125925.92791
12235993|2021-09|0.0|124118.36893|127757.45051|127757.45051|127757.45051
12235993|2021-10|0.0|127810.59067|127810.59067|127757.45051|127757.45051
12289721|2021-06|0.0|196229.53173|196229.53173|186508.96173|186508.96173
12289721|2021-07|0.0|395848.42895|395848.42895|196229.53173|196229.53173
12289721|2021-08|0.0|398311.67659|398311.67659|395848.42895|395848.42895
12289721|2021-09|0.0|389384.99467|398311.67659|398311.67659|398311.67659
12289721|2021-10|0.0|399678.56449|399678.56449|398311.67659|398311.67659
12471037|2021-06|0.0|86559.83|86559.83|85193.16|85193.16
12471037|2021-07|0.0|86804.59|86804.59|86559.83|86559.83
12471037|2021-08|0.0|88375.64|88375.64|86804.59|86804.59
12471037|2021-09|110.52000000000407|85746.39|88375.64|88375.64|88375.64
12471037|2021-10|-1.4551915228366852e-11|88578.29|88578.29|88375.64|88375.64
12510148|2021-06|0.0|12832.30688|12832.30688|12564.71292|12564.71292
